# wave ext albedo g
0.09120000000000002 6.353715712507384 0.2538911231650523 0.8380830571048214
0.09669863813274364 5.5399574869885475 0.2938874205898615 0.8204031405596053
0.1025288006220099 4.878879489112645 0.33452866449335716 0.8050971355333093
0.10871047576241182 4.343107446946019 0.3750951959462481 0.7921923338084146
0.11526485698451598 3.910183490765278 0.4146262310864253 0.7815990012437534
0.12221441551500176 3.561797596513545 0.4518608867794848 0.773068558470572
0.1295829774176527 3.283197406361417 0.48516631493021317 0.7661410776135235
0.13739580527931017 3.0627922149722595 0.5124502758918656 0.760079698816694
0.14567968482084345 2.892015298875752 0.5310958367395764 0.7538066757478858
0.1544630167300755 2.7656184907700587 0.5404774751617601 0.7469412983265555
0.16377591403150768 2.6828408294498525 0.5434195759104395 0.740690416245445
0.16786320613200906 2.662289753727657 0.5411066211590718 0.7382048436220398
0.1720525031995632 2.65117949427215 0.5347543204164984 0.7356041561143069
0.17634635093265394 2.6494886908475714 0.5235398306735869 0.732805804204385
0.18074735856177704 2.659838535123264 0.5086200433555695 0.7299527259849335
0.18525820043498384 2.686045176787112 0.4917063156409558 0.7272501756898276
0.18988161764299488 2.7329633898143935 0.47434824223355926 0.7248704190651205
0.19462041968487098 2.8058498344552905 0.45584195156717877 0.7226507013867981
0.19947748617525368 2.907757815807733 0.43450722995704133 0.7202757047591969
0.20445576859421263 3.032767109689006 0.4094352262372886 0.7174757835184359
0.20955829208076318 3.154742489450995 0.3854383354117004 0.7144851856500427
0.21478815727114448 3.223105676922532 0.37016076398387066 0.7117698856624372
0.22014854218297406 3.1899104081701153 0.36939639186616985 0.7096644472012478
0.22564270414642526 3.055817291541349 0.38032940908638235 0.7079135590824167
0.2312739817835998 2.8693433425222894 0.3978392139093742 0.7061054198645123
0.23704579703729914 2.6806229032218662 0.41777212961720717 0.7040727785041174
0.24296165725042676 2.515178977395414 0.43731166156520307 0.7019645872177298
0.2490251572972855 2.3785755114655562 0.45388350092132557 0.6998974132900925
0.25523998176806506 2.267615628522025 0.466835511821116 0.697715630498765
0.2616099072078463 2.176994745771581 0.4761205732887005 0.695197318800321
0.27738291391482656 2.016888941298804 0.49173676896807483 0.6885435182845238
