# wave ext albedo g
0.09120000000000002 7.258371758370813 0.34081658213090327 0.8380830571048214
0.09669863813274364 6.549388072301307 0.361534978747646 0.8204031405596053
0.1025288006220099 5.944614580259244 0.38406428931874576 0.8050971355333093
0.10871047576241182 5.426871617561323 0.40796500042104833 0.7921923338084146
0.11526485698451598 4.981967377239329 0.43258419228633116 0.7815990012437534
0.12221441551500176 4.598229231903114 0.45699665482225305 0.773068558470572
0.1295829774176527 4.2661390313475005 0.4799323595845477 0.7661410776135235
0.13739580527931017 3.978078682633173 0.49968737072750474 0.760079698816694
0.14567968482084345 3.728217732269334 0.5140559602937125 0.7538066757478858
0.1544630167300755 3.5126318825619203 0.5228671300238026 0.7469412983265555
0.16377591403150768 3.3298807828218764 0.5296453228061424 0.740690416245445
0.16786320613200906 3.263181784310628 0.5308530185694129 0.7382048436220398
0.1720525031995632 3.2029263392108835 0.5296215502865302 0.7356041561143069
0.17634635093265394 3.148901114085354 0.5252746101369881 0.732805804204385
0.18074735856177704 3.102418976208923 0.5184962115272921 0.7299527259849335
0.18525820043498384 3.0654328073644614 0.5103363317822701 0.7272501756898276
0.18988161764299488 3.0404402707228444 0.5017568370421671 0.7248704190651205
0.19462041968487098 3.030158135565268 0.49239472211621904 0.7226507013867981
0.19947748617525368 3.0361763544716256 0.4813187188984024 0.7202757047591969
0.20445576859421263 3.055442521637728 0.4680115876163703 0.7174757835184359
0.20955829208076318 3.074388023681448 0.4550426207216879 0.7144851856500427
0.21478815727114448 3.066639618290391 0.44650725602480895 0.7117698856624372
0.22014854218297406 3.0070609938625625 0.44549916161347636 0.7096644472012478
0.22564270414642526 2.895849462322599 0.4504612976954224 0.7079135590824167
0.2312739817835998 2.7582849900499076 0.45859383266709797 0.7061054198645123
0.23704579703729914 2.6205363005342215 0.4677446053484301 0.7040727785041174
0.24296165725042676 2.4959006705692275 0.47664143062029674 0.7019645872177298
0.2490251572972855 2.3872437101708415 0.4840675993143044 0.6998974132900925
0.25523998176806506 2.29286334153951 0.4893889196135588 0.697715630498765
0.2616099072078463 2.2099655024326355 0.49224710930218485 0.695197318800321
0.27738291391482656 2.0485311742329415 0.49961096605778754 0.6885435182845238
0.2941069080795591 1.9285659767875263 0.5095105529031897 0.6809648707375681
0.31183922671848 1.8278077876661145 0.5109073921899039 0.6722057174244731
0.3306406638162818 1.7271519837373916 0.5086746634953312 0.6636309923892397
0.3505756787537367 1.6413106705119362 0.5041343994919403 0.6554529798494314
0.37171261730206756 1.5571888987138431 0.4991229514879819 0.6479066497305106
0.39412394594153133 1.4744195392642876 0.49600404255727776 0.6412519711220537
0.4178865003075564 1.3970572181272825 0.49538389768088237 0.6354585634693248
0.44308174861621785 1.3204184758806754 0.4964199306188182 0.6302269310427875
0.46979607097218135 1.2307209011209268 0.4978229448696143 0.6250959664509819
0.4981210555167073 1.1467363361134826 0.4979716543653554 0.6194707684903693
0.528153812431035 1.0571496571314793 0.49646869198432486 0.6131135567213594
0.5599973068716843 0.9786511533663456 0.49374021632907183 0.6060050816883551
0.5937607119791227 0.9070433832673994 0.49044896756780054 0.5981437860315718
0.6295597831700595 0.8400101817109697 0.4874323062527377 0.5887111084186476
0.6675172549966022 0.7703313552561084 0.4850305637419775 0.5784805198375557
0.7077632619328816 0.7046655127656656 0.4833541281952627 0.5680336047404064
0.7504357845317758 0.6444032102116282 0.48252355220225107 0.5579349251354729
0.7956811224813573 0.5884051258412795 0.4826102572135008 0.5487621515889209
0.8436543961828952 0.5361280270900552 0.48334917076538825 0.5404236646778883
0.894520078570045 0.4872809279803581 0.48422522328270323 0.5324760584983175
0.9484525589925241 0.44058229763930434 0.4845015143665854 0.5243093649972066
1.0056367410975084 0.3966690390925709 0.4834005457632262 0.5152618615434247
1.0662686767585479 0.3585030700544062 0.48094918619963134 0.5049407403963249
1.1305562382253755 0.3254603540834324 0.47753981111802196 0.4931711770577635
1.1987198307990294 0.2954514325957607 0.4737688563850748 0.4797538492703221
1.2709931484756471 0.2681528228525495 0.470259506911764 0.4647013217362703
1.347623975149596 0.2433020564605751 0.46702665969891766 0.4480843155682906
1.42887503412281 0.22064272485780256 0.46388113592799346 0.43020010442775547
1.5150248888328213 0.19994878937175048 0.4605457731655236 0.41118594828592675
1.606368897887557 0.18102126871504293 0.45674438644501025 0.3911742792273186
1.703220227681174 0.16369743021897265 0.45243933826290705 0.3700371864542866
1.8059109260626212 0.14790848409797946 0.4476565201520605 0.347420585479303
1.9147930607379093 0.1336034435720657 0.4424476571154438 0.3234501186252804
2.030239926309033 0.12066442023969831 0.43796193517464543 0.29791613046728227
2.1526473240877766 0.10898559383731787 0.4348996561190942 0.27036826051940677
2.28243491907218 0.09850525054470377 0.42912333107620027 0.2409365906535931
