0.10000  9.675  0.400  0.800
0.11429  7.440  0.449  0.783
0.12857  6.068  0.473  0.767
0.14286  5.167  0.494  0.756
0.15714  4.536  0.508  0.745
0.17143  4.074  0.524  0.736
0.18571  3.700  0.529  0.727
0.20000  3.379  0.528  0.720
0.21429  3.101  0.523  0.712
0.22857  2.857  0.520  0.707
0.24286  2.642  0.516  0.702
0.25714  2.452  0.511  0.697
0.27143  2.282  0.505  0.691
0.28571  2.133  0.513  0.685
0.30000  2.031  0.515  0.678
0.37768  1.610  0.498  0.646
0.47547  1.221  0.494  0.624
0.59858  0.880  0.489  0.597
0.75358  0.630  0.484  0.563
0.94870  0.430  0.493  0.545
1.19435  0.272  0.475  0.533
1.50360  0.166  0.465  0.511
1.89292  0.111  0.439  0.480
2.38306  0.075  0.417  0.445
3.00010  0.033  0.400  0.420  
