0.10000  5.238  0.320  0.800
0.11429  3.918  0.409  0.783
0.12857  3.182  0.481  0.767
0.14286  2.780  0.526  0.756
0.15714  2.584  0.542  0.745
0.17143  2.509  0.536  0.736
0.18571  2.561  0.490  0.727
0.20000  2.843  0.432  0.720
0.21429  3.190  0.371  0.712
0.22857  2.910  0.389  0.707
0.24286  2.472  0.437  0.702
0.25714  2.194  0.470  0.697
0.27143  2.022  0.486  0.691
0.28571  1.905  0.499  0.685
0.30000  1.818  0.506  0.678
0.37768  1.527  0.498  0.646
0.47547  1.199  0.502  0.624
0.59858  0.909  0.491  0.597
0.75358  0.667  0.481  0.563
0.94870  0.440  0.476  0.545
1.19435  0.304  0.473  0.533
1.50360  0.210  0.457  0.511
1.89292  0.145  0.448  0.480
2.38306  0.100  0.424  0.445
3.00010  0.069  0.400  0.420  
